insumo,unidad
Aderezo,pcs
Aderezo frambuesa,pcs
Agua mineral,lt
Aluminio,pcs
Baguetera,pcs
Bolsa,pcs
Bote 1/2 litro,pcs
Bote litro,pcs
Canasta,pcs
Canasta cartón,pcs
Cebolla,pcs
Chile serrano,pcs
Cilantro,pcs
Concentrado soda,lt
Cono,pcs
Crema batida,pcs
Cuernito,pcs
Cuchara,pcs
Galletas,pcs
Hielo,pcs
Jamón selva negra,kg
Jalapeños,pcs
Jitomate,pcs
Lechuga,pcs
Leche,lt
Lomo canadiense,pcs
Mayonesa,pcs
Muffin,pcs
Nieve,kg
Nieve AGUA - Ciruela Amarilla,ml
Nieve AGUA - Frutos Rojos,ml
Nieve AGUA - Guanábana,ml
Nieve AGUA - Limón,ml
Nieve AGUA - Mango,ml
Nieve AGUA - Panditas,ml
Nieve AGUA - Picafresa,ml
Nieve CREMA - Crema de Fresas,ml
Nieve CREMA - Crema de Guayaba,ml
Nieve CREMA - Crema de Mango,ml
Nieve LECHE - Chocolate,ml
Nieve LECHE - Chongos,ml
Nieve LECHE - Comegalletas,ml
Nieve LECHE - Elote,ml
Nieve LECHE - Ferrero,ml
Nieve LECHE - Mamey,ml
Nieve LECHE - Mazapán,ml
Nieve LECHE - Nutella,ml
Nieve LECHE - Oreo,ml
Nieve LECHE - Red Velvet,ml
Nieve LECHE - Taro,ml
Nieve LECHE - Vainilla,ml
Nieve LIGHT - Café Light,ml
Nieve LIGHT - Coco Light,ml
Nieve LIGHT - Hierbabuena Light,ml
Nieve LIGHT - Nuez Light,ml
Nieve LIGHT - Pepino Limón Chía,ml
Nieve LIGHT - Vainilla light,ml
Nutella,kg
Papel encerado,pcs
Pan baguette,pcs
Pechuga de pavo,pcs
Pechuga pollo,pcs
Pepperoni,pcs
Pepino,pcs
Plato cartón,pcs
Platanitos,pcs
Polvo base malteada,pcs
Popote,pcs
Queso cheddar,kg
Queso gouda,pcs
Queso panela,kg
Salsa chipotle,pcs
Servilleta,pcs
Tapa domo,pcs
Tapa lisa,pcs
Tapa litro,pcs
Tiras pollo,pcs
Topping,pcs
Vaso Chico,pcs
Vaso Grande,pcs
Vaso Mediano,pcs
Vaso Mini,pcs
Waffle,pcs
